"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 08 17:14:48 GMT 2025","Tue Jul 08 17:14:48 GMT 2025","34","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"passed","Tue Jul 08 17:14:47 GMT 2025","Tue Jul 08 17:14:47 GMT 2025","118","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[core]","Insert and delete queries are handled properly."
"skipped","Tue Jul 08 17:14:49 GMT 2025","Tue Jul 08 17:14:49 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"skipped","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Jul 08 17:14:55 GMT 2025","Tue Jul 08 17:14:55 GMT 2025","45","tests.integration.dbapi.sync.core","test_core","","","","test_core_connection_basic","Test basic connection to Firebolt Core."
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","40","tests.integration.dbapi.async.core","test_core","","","","test_core_cursor_execute_basic","Test basic query execution with Firebolt Core cursor."
"passed","Tue Jul 08 17:14:49 GMT 2025","Tue Jul 08 17:14:49 GMT 2025","71","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Tue Jul 08 17:14:55 GMT 2025","Tue Jul 08 17:14:55 GMT 2025","47","tests.integration.dbapi.sync.core","test_core","","","","test_core_connection_database","Test connection to Firebolt Core with specified database."
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","37","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[core]",""
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","83","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Tue Jul 08 17:14:55 GMT 2025","Tue Jul 08 17:14:55 GMT 2025","8","tests.integration.dbapi.sync.core","test_core","","","","test_core_cursor_error_handling","Test error handling in Firebolt Core cursor."
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","78","tests.integration.dbapi.async.core","test_core","","","","test_core_cursor_fetchmany","Test fetchmany functionality in Firebolt Core cursor."
"passed","Tue Jul 08 17:14:52 GMT 2025","Tue Jul 08 17:14:52 GMT 2025","93","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"skipped","Tue Jul 08 17:14:53 GMT 2025","Tue Jul 08 17:14:53 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Tue Jul 08 17:14:47 GMT 2025","Tue Jul 08 17:14:47 GMT 2025","48","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"skipped","Tue Jul 08 17:14:47 GMT 2025","Tue Jul 08 17:14:47 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Jul 08 17:14:52 GMT 2025","Tue Jul 08 17:14:52 GMT 2025","43","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","31","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Tue Jul 08 17:14:52 GMT 2025","Tue Jul 08 17:14:52 GMT 2025","28","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"passed","Tue Jul 08 17:14:53 GMT 2025","Tue Jul 08 17:14:54 GMT 2025","269","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Tue Jul 08 17:14:48 GMT 2025","Tue Jul 08 17:14:48 GMT 2025","106","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Tue Jul 08 17:14:47 GMT 2025","Tue Jul 08 17:14:47 GMT 2025","163","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[core]","Select handles all data types properly."
"passed","Tue Jul 08 17:14:55 GMT 2025","Tue Jul 08 17:14:55 GMT 2025","44","tests.integration.dbapi.sync.core","test_core","","","","test_core_api_endpoint_ignored","Test that api_endpoint is ignored with FireboltCore."
"passed","Tue Jul 08 17:14:55 GMT 2025","Tue Jul 08 17:14:55 GMT 2025","54","tests.integration.dbapi.sync.core","test_core","","","","test_core_cursor_fetchmany","Test fetchmany functionality in Firebolt Core cursor."
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","51","tests.integration.dbapi.async.core","test_core","","","","test_core_cursor_execute_complex_types","Test handling of complex data types with Firebolt Core cursor."
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","34","tests.integration.dbapi.async.core","test_core","","","","test_core_cursor_error_handling","Test error handling in Firebolt Core cursor."
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","80","tests.integration.dbapi.async.core","test_core","","","","test_core_cursor_multi_statement","Test multi-statement execution in Firebolt Core cursor."
"skipped","Tue Jul 08 17:14:47 GMT 2025","Tue Jul 08 17:14:47 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
"passed","Tue Jul 08 17:14:47 GMT 2025","Tue Jul 08 17:14:47 GMT 2025","47","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[core]","Connection properly reacts to SQL execution error."
"passed","Tue Jul 08 17:14:49 GMT 2025","Tue Jul 08 17:14:50 GMT 2025","268","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Tue Jul 08 17:14:48 GMT 2025","Tue Jul 08 17:14:48 GMT 2025","187","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Tue Jul 08 17:14:51 GMT 2025","Tue Jul 08 17:14:51 GMT 2025","47","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Tue Jul 08 17:14:52 GMT 2025","Tue Jul 08 17:14:52 GMT 2025","86","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Tue Jul 08 17:14:48 GMT 2025","Tue Jul 08 17:14:48 GMT 2025","59","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"skipped","Tue Jul 08 17:14:47 GMT 2025","Tue Jul 08 17:14:47 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
