"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 28 12:41:48 GMT 2025","Mon Jul 28 12:41:48 GMT 2025","16","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[remote]","Connection properly reacts to sql execution error."
"passed","Mon Jul 28 12:41:56 GMT 2025","Mon Jul 28 12:41:57 GMT 2025","1022","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[remote]",""
"passed","Mon Jul 28 12:42:18 GMT 2025","Mon Jul 28 12:42:18 GMT 2025","17","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Mon Jul 28 12:41:38 GMT 2025","Mon Jul 28 12:41:41 GMT 2025","2479","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Mon Jul 28 12:41:45 GMT 2025","Mon Jul 28 12:41:46 GMT 2025","210","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[remote]","Select handles errors properly."
"passed","Mon Jul 28 12:42:56 GMT 2025","Mon Jul 28 12:42:56 GMT 2025","53","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Mon Jul 28 12:41:51 GMT 2025","Mon Jul 28 12:41:53 GMT 2025","1778","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Mon Jul 28 12:41:41 GMT 2025","Mon Jul 28 12:42:37 GMT 2025","55926","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Mon Jul 28 12:41:52 GMT 2025","Mon Jul 28 12:41:53 GMT 2025","1376","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Mon Jul 28 12:41:56 GMT 2025","Mon Jul 28 12:41:56 GMT 2025","144","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Mon Jul 28 12:42:40 GMT 2025","Mon Jul 28 12:42:40 GMT 2025","184","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"skipped","Mon Jul 28 12:41:48 GMT 2025","Mon Jul 28 12:41:48 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Mon Jul 28 12:42:55 GMT 2025","Mon Jul 28 12:42:56 GMT 2025","54","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Mon Jul 28 12:42:12 GMT 2025","Mon Jul 28 12:42:15 GMT 2025","3008","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_from_another_connection[remote]",""
"passed","Mon Jul 28 12:41:38 GMT 2025","Mon Jul 28 12:41:39 GMT 2025","1317","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[remote]","Connection properly reacts to SQL execution error."
"passed","Mon Jul 28 12:41:39 GMT 2025","Mon Jul 28 12:41:40 GMT 2025","1110","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Mon Jul 28 12:41:45 GMT 2025","Mon Jul 28 12:41:45 GMT 2025","863","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Mon Jul 28 12:41:41 GMT 2025","Mon Jul 28 12:41:43 GMT 2025","2028","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[remote]",""
"passed","Mon Jul 28 12:50:59 GMT 2025","Mon Jul 28 12:51:00 GMT 2025","769","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[remote]","Insert and delete queries are handled properly."
"skipped","Mon Jul 28 12:41:38 GMT 2025","Mon Jul 28 12:41:38 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[remote]","Auth refreshes token on expiration/invalidation"
"passed","Mon Jul 28 12:41:50 GMT 2025","Mon Jul 28 12:41:50 GMT 2025","180","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Mon Jul 28 12:41:49 GMT 2025","Mon Jul 28 12:41:49 GMT 2025","28","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[remote]",""
"passed","Mon Jul 28 12:41:46 GMT 2025","Mon Jul 28 12:41:48 GMT 2025","2667","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails[remote]",""
"passed","Mon Jul 28 12:41:43 GMT 2025","Mon Jul 28 12:41:47 GMT 2025","3430","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_from_another_connection[remote]",""
"passed","Mon Jul 28 12:41:41 GMT 2025","Mon Jul 28 12:41:41 GMT 2025","507","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[remote]",""
"passed","Mon Jul 28 12:41:59 GMT 2025","Mon Jul 28 12:42:12 GMT 2025","12940","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async[remote]",""
"passed","Mon Jul 28 12:42:20 GMT 2025","Mon Jul 28 12:43:35 GMT 2025","74862","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[remote]",""
"passed","Mon Jul 28 12:41:38 GMT 2025","Mon Jul 28 12:41:39 GMT 2025","796","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Mon Jul 28 12:41:49 GMT 2025","Mon Jul 28 12:41:49 GMT 2025","118","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[remote]","Select handles all data types properly."
