"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 08 09:28:31 GMT 2025","Tue Jul 08 09:28:32 GMT 2025","1046","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"broken","Tue Jul 08 09:28:30 GMT 2025","Tue Jul 08 09:28:30 GMT 2025","54","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"broken","Tue Jul 08 09:28:29 GMT 2025","Tue Jul 08 09:28:29 GMT 2025","34","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[core]","Query parameters are handled properly."
"passed","Tue Jul 08 09:28:30 GMT 2025","Tue Jul 08 09:28:30 GMT 2025","39","tests.integration.dbapi.async.core","test_core","","","","test_core_api_endpoint_ignored","Test that api_endpoint is ignored with FireboltCore."
"broken","Tue Jul 08 09:28:29 GMT 2025","Tue Jul 08 09:28:29 GMT 2025","54","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Tue Jul 08 09:28:31 GMT 2025","Tue Jul 08 09:28:31 GMT 2025","3","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"passed","Tue Jul 08 09:28:31 GMT 2025","Tue Jul 08 09:28:31 GMT 2025","76","tests.integration.dbapi.async.core","test_core","","","","test_core_cursor_fetchmany","Test fetchmany functionality in Firebolt Core cursor."
"skipped","Tue Jul 08 09:28:29 GMT 2025","Tue Jul 08 09:28:29 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Jul 08 09:28:31 GMT 2025","Tue Jul 08 09:28:31 GMT 2025","59","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[core]","Query parameters are handled properly."
"broken","Tue Jul 08 09:28:29 GMT 2025","Tue Jul 08 09:28:29 GMT 2025","54","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"broken","Tue Jul 08 09:28:30 GMT 2025","Tue Jul 08 09:28:30 GMT 2025","51","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"passed","Tue Jul 08 09:28:31 GMT 2025","Tue Jul 08 09:28:31 GMT 2025","46","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Tue Jul 08 09:28:34 GMT 2025","Tue Jul 08 09:28:34 GMT 2025","55","tests.integration.dbapi.sync.core","test_core","","","","test_core_cursor_multi_statement","Test multi-statement execution in Firebolt Core cursor."
"broken","Tue Jul 08 09:28:29 GMT 2025","Tue Jul 08 09:28:29 GMT 2025","44","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Tue Jul 08 09:28:31 GMT 2025","Tue Jul 08 09:28:31 GMT 2025","6","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"broken","Tue Jul 08 09:28:29 GMT 2025","Tue Jul 08 09:28:29 GMT 2025","44","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[core]","Insert and delete queries are handled properly."
"passed","Tue Jul 08 09:28:34 GMT 2025","Tue Jul 08 09:28:34 GMT 2025","45","tests.integration.dbapi.sync.core","test_core","","","","test_core_api_endpoint_ignored","Test that api_endpoint is ignored with FireboltCore."
"passed","Tue Jul 08 09:28:31 GMT 2025","Tue Jul 08 09:28:31 GMT 2025","8","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"broken","Tue Jul 08 09:28:30 GMT 2025","Tue Jul 08 09:28:30 GMT 2025","55","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"passed","Tue Jul 08 09:28:30 GMT 2025","Tue Jul 08 09:28:30 GMT 2025","56","tests.integration.dbapi.async.core","test_core","","","","test_core_cursor_execute_basic","Test basic query execution with Firebolt Core cursor."
"skipped","Tue Jul 08 09:28:29 GMT 2025","Tue Jul 08 09:28:29 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[core]","Auth refreshes token on expiration/invalidation"
