"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 09:45:20 GMT 2024","Thu Aug 22 09:45:21 GMT 2024","56","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"passed","Thu Aug 22 09:45:29 GMT 2024","Thu Aug 22 09:45:29 GMT 2024","271","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Thu Aug 22 09:45:17 GMT 2024","Thu Aug 22 09:45:18 GMT 2024","1650","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Thu Aug 22 09:45:28 GMT 2024","Thu Aug 22 09:45:29 GMT 2024","505","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Thu Aug 22 09:45:29 GMT 2024","Thu Aug 22 09:45:30 GMT 2024","979","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_use_engine",""
"passed","Thu Aug 22 09:45:16 GMT 2024","Thu Aug 22 09:45:16 GMT 2024","566","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Thu Aug 22 09:45:16 GMT 2024","Thu Aug 22 09:45:17 GMT 2024","720","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Thu Aug 22 09:45:52 GMT 2024","Thu Aug 22 09:45:52 GMT 2024","52","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Thu Aug 22 09:45:16 GMT 2024","Thu Aug 22 09:45:17 GMT 2024","439","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"passed","Thu Aug 22 09:45:52 GMT 2024","Thu Aug 22 09:45:52 GMT 2024","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"skipped","Thu Aug 22 09:45:52 GMT 2024","Thu Aug 22 09:45:52 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
