"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 24 16:01:10 GMT 2025","Thu Apr 24 16:01:10 GMT 2025","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Thu Apr 24 15:59:41 GMT 2025","Thu Apr 24 15:59:43 GMT 2025","1424","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Thu Apr 24 16:01:10 GMT 2025","Thu Apr 24 16:01:10 GMT 2025","52","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Thu Apr 24 15:59:36 GMT 2025","Thu Apr 24 15:59:37 GMT 2025","662","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter",""
"passed","Thu Apr 24 16:01:10 GMT 2025","Thu Apr 24 16:01:10 GMT 2025","61","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Thu Apr 24 16:00:47 GMT 2025","Thu Apr 24 16:06:31 GMT 2025","343865","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Thu Apr 24 15:59:37 GMT 2025","Thu Apr 24 15:59:39 GMT 2025","1766","tests.integration.dbapi.async.V2","test_server_async","","","","test_cancel_async_query",""
"passed","Thu Apr 24 15:59:34 GMT 2025","Thu Apr 24 15:59:36 GMT 2025","1945","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Thu Apr 24 15:59:43 GMT 2025","Thu Apr 24 15:59:45 GMT 2025","1307","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine",""
"passed","Thu Apr 24 15:59:47 GMT 2025","Thu Apr 24 15:59:49 GMT 2025","1526","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Thu Apr 24 16:00:04 GMT 2025","Thu Apr 24 16:00:05 GMT 2025","808","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running",""
