"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 20 03:33:10 GMT 2025","Sun Jul 20 03:33:10 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[core]",""
"passed","Sun Jul 20 03:33:14 GMT 2025","Sun Jul 20 03:33:15 GMT 2025","1003","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Sun Jul 20 03:33:10 GMT 2025","Sun Jul 20 03:33:10 GMT 2025","38","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[core]","Connection properly reacts to SQL execution error."
"passed","Sun Jul 20 03:33:10 GMT 2025","Sun Jul 20 03:33:10 GMT 2025","60","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Sun Jul 20 03:33:11 GMT 2025","Sun Jul 20 03:33:11 GMT 2025","108","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[core]",""
"passed","Sun Jul 20 03:33:13 GMT 2025","Sun Jul 20 03:33:13 GMT 2025","43","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[core]","Select handles all data types properly."
"passed","Sun Jul 20 03:33:11 GMT 2025","Sun Jul 20 03:33:11 GMT 2025","155","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"skipped","Sun Jul 20 03:33:10 GMT 2025","Sun Jul 20 03:33:10 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Sun Jul 20 03:33:13 GMT 2025","Sun Jul 20 03:33:13 GMT 2025","32","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Sun Jul 20 03:33:14 GMT 2025","Sun Jul 20 03:33:14 GMT 2025","6","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
