"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 29 15:52:01 GMT 2025","Tue Apr 29 15:52:01 GMT 2025","383","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Apr 29 15:52:18 GMT 2025","Tue Apr 29 15:52:20 GMT 2025","2598","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Tue Apr 29 15:52:53 GMT 2025","Tue Apr 29 15:52:54 GMT 2025","374","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error","Select handles errors properly."
"passed","Tue Apr 29 15:52:05 GMT 2025","Tue Apr 29 15:52:06 GMT 2025","1472","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"skipped","Tue Apr 29 15:51:54 GMT 2025","Tue Apr 29 15:51:54 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Tue Apr 29 15:52:01 GMT 2025","Tue Apr 29 15:52:01 GMT 2025","294","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Apr 29 15:52:00 GMT 2025","Tue Apr 29 15:52:01 GMT 2025","442","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine",""
"passed","Tue Apr 29 15:51:54 GMT 2025","Tue Apr 29 15:51:55 GMT 2025","662","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Tue Apr 29 15:51:54 GMT 2025","Tue Apr 29 15:51:55 GMT 2025","1146","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Apr 29 15:51:55 GMT 2025","Tue Apr 29 15:51:56 GMT 2025","953","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
