"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 05 14:00:08 GMT 2025","Tue Aug 05 14:01:09 GMT 2025","61048","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"broken","Tue Aug 05 14:01:06 GMT 2025","Tue Aug 05 14:01:29 GMT 2025","22265","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails[remote]",""
"passed","Tue Aug 05 14:02:04 GMT 2025","Tue Aug 05 14:02:04 GMT 2025","22","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[remote]","Select handles errors properly."
"broken","Tue Aug 05 14:00:32 GMT 2025","Tue Aug 05 14:00:59 GMT 2025","26538","tests.integration.dbapi.async.V2","test_server_async","","","","test_cancel_async_query[remote]",""
"passed","Tue Aug 05 14:01:45 GMT 2025","Tue Aug 05 14:01:45 GMT 2025","17","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[remote]",""
"passed","Tue Aug 05 14:02:03 GMT 2025","Tue Aug 05 14:02:04 GMT 2025","786","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Tue Aug 05 14:07:47 GMT 2025","Tue Aug 05 14:07:47 GMT 2025","52","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"skipped","Tue Aug 05 14:01:28 GMT 2025","Tue Aug 05 14:01:28 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token[remote]","Auth refreshes token on expiration/invalidation"
"passed","Tue Aug 05 14:03:17 GMT 2025","Tue Aug 05 14:07:33 GMT 2025","256088","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"broken","Tue Aug 05 14:01:38 GMT 2025","Tue Aug 05 14:01:48 GMT 2025","10274","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[remote]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Aug 05 14:02:04 GMT 2025","Tue Aug 05 14:02:05 GMT 2025","473","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[remote]","Select handles errors properly during fetching."
"broken","Tue Aug 05 14:01:08 GMT 2025","Tue Aug 05 14:01:19 GMT 2025","10528","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[remote]","Select handles errors properly."
"passed","Tue Aug 05 14:01:29 GMT 2025","Tue Aug 05 14:01:29 GMT 2025","237","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Aug 05 14:02:02 GMT 2025","Tue Aug 05 14:02:02 GMT 2025","21","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[remote]",""
"broken","Tue Aug 05 14:01:42 GMT 2025","Tue Aug 05 14:01:54 GMT 2025","12679","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[remote]","Query parameters are handled properly"
"passed","Tue Aug 05 14:07:47 GMT 2025","Tue Aug 05 14:07:47 GMT 2025","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Tue Aug 05 14:00:05 GMT 2025","Tue Aug 05 14:00:08 GMT 2025","3057","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Tue Aug 05 14:00:08 GMT 2025","Tue Aug 05 14:00:08 GMT 2025","150","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter[remote]",""
"broken","Tue Aug 05 14:01:59 GMT 2025","Tue Aug 05 14:02:03 GMT 2025","4073","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[remote]",""
"passed","Tue Aug 05 14:01:17 GMT 2025","Tue Aug 05 14:01:18 GMT 2025","565","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Aug 05 14:01:14 GMT 2025","Tue Aug 05 14:01:14 GMT 2025","386","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine",""
"broken","Tue Aug 05 14:00:12 GMT 2025","Tue Aug 05 14:01:05 GMT 2025","53229","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async[remote]",""
"broken","Tue Aug 05 14:01:09 GMT 2025","Tue Aug 05 14:01:22 GMT 2025","12933","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[remote]",""
"failed","Tue Aug 05 14:01:45 GMT 2025","Tue Aug 05 14:02:01 GMT 2025","16045","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Tue Aug 05 14:02:04 GMT 2025","Tue Aug 05 14:03:17 GMT 2025","73224","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[remote]",""
"passed","Tue Aug 05 14:02:03 GMT 2025","Tue Aug 05 14:02:03 GMT 2025","15","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Tue Aug 05 14:00:08 GMT 2025","Tue Aug 05 14:00:11 GMT 2025","2227","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_too_many_params","Test fb_numeric paramstyle: too many parameters supplied (should succeed)."
"broken","Tue Aug 05 14:01:19 GMT 2025","Tue Aug 05 14:01:31 GMT 2025","12286","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"broken","Tue Aug 05 14:01:19 GMT 2025","Tue Aug 05 14:01:27 GMT 2025","8481","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[remote]","Connection properly reacts to sql execution error."
"passed","Tue Aug 05 14:01:14 GMT 2025","Tue Aug 05 14:01:14 GMT 2025","130","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Aug 05 14:07:47 GMT 2025","Tue Aug 05 14:07:47 GMT 2025","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"broken","Tue Aug 05 14:00:50 GMT 2025","Tue Aug 05 14:01:01 GMT 2025","11784","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[remote]","Select handles all data types properly."
"passed","Tue Aug 05 14:01:58 GMT 2025","Tue Aug 05 14:02:02 GMT 2025","3951","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"broken","Tue Aug 05 14:01:05 GMT 2025","Tue Aug 05 14:01:14 GMT 2025","8949","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Tue Aug 05 14:00:11 GMT 2025","Tue Aug 05 14:00:12 GMT 2025","513","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[remote]",""
"broken","Tue Aug 05 14:01:36 GMT 2025","Tue Aug 05 14:01:44 GMT 2025","8005","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[remote]",""
"passed","Tue Aug 05 14:02:02 GMT 2025","Tue Aug 05 14:02:02 GMT 2025","291","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Tue Aug 05 14:01:16 GMT 2025","Tue Aug 05 14:01:16 GMT 2025","884","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Tue Aug 05 14:00:08 GMT 2025","Tue Aug 05 14:00:08 GMT 2025","123","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"passed","Tue Aug 05 14:00:06 GMT 2025","Tue Aug 05 14:00:08 GMT 2025","2561","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[remote]","Query parameters are handled properly."
"passed","Tue Aug 05 14:02:02 GMT 2025","Tue Aug 05 14:02:03 GMT 2025","458","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_too_many_params","Test fb_numeric paramstyle: too many parameters supplied (should succeed)."
"skipped","Tue Aug 05 14:01:14 GMT 2025","Tue Aug 05 14:01:14 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"broken","Tue Aug 05 14:01:38 GMT 2025","Tue Aug 05 14:01:50 GMT 2025","12480","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[remote]","Query parameters are handled properly."
"passed","Tue Aug 05 14:02:03 GMT 2025","Tue Aug 05 14:02:03 GMT 2025","521","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Tue Aug 05 14:07:47 GMT 2025","Tue Aug 05 14:07:47 GMT 2025","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Aug 05 14:02:05 GMT 2025","Tue Aug 05 14:02:06 GMT 2025","1268","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Aug 05 14:00:08 GMT 2025","Tue Aug 05 14:01:59 GMT 2025","110503","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"broken","Tue Aug 05 14:00:11 GMT 2025","Tue Aug 05 14:01:06 GMT 2025","54883","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Tue Aug 05 14:02:07 GMT 2025","Tue Aug 05 14:02:08 GMT 2025","698","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"broken","Tue Aug 05 14:01:28 GMT 2025","Tue Aug 05 14:01:37 GMT 2025","9334","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Aug 05 14:00:03 GMT 2025","Tue Aug 05 14:00:07 GMT 2025","3858","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Tue Aug 05 14:02:03 GMT 2025","Tue Aug 05 14:02:16 GMT 2025","13603","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async[remote]",""
"passed","Tue Aug 05 14:00:04 GMT 2025","Tue Aug 05 14:00:06 GMT 2025","2001","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Aug 05 14:02:02 GMT 2025","Tue Aug 05 14:02:03 GMT 2025","1241","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[remote]",""
"passed","Tue Aug 05 14:00:08 GMT 2025","Tue Aug 05 14:00:09 GMT 2025","660","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_incorrect_params",""
"passed","Tue Aug 05 14:02:07 GMT 2025","Tue Aug 05 14:07:47 GMT 2025","339291","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Tue Aug 05 14:07:47 GMT 2025","Tue Aug 05 14:07:47 GMT 2025","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Tue Aug 05 14:02:06 GMT 2025","Tue Aug 05 14:02:07 GMT 2025","1013","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Tue Aug 05 14:02:08 GMT 2025","Tue Aug 05 14:03:59 GMT 2025","111081","tests.integration.resource_manager.V2","test_engine","","","","test_engine_rename",""
"passed","Tue Aug 05 14:02:06 GMT 2025","Tue Aug 05 14:02:07 GMT 2025","1108","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Tue Aug 05 14:01:49 GMT 2025","Tue Aug 05 14:02:02 GMT 2025","13050","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Tue Aug 05 14:01:50 GMT 2025","Tue Aug 05 14:01:58 GMT 2025","7860","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Tue Aug 05 14:00:06 GMT 2025","Tue Aug 05 14:00:08 GMT 2025","2490","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[remote]","Insert and delete queries are handled properly."
"passed","Tue Aug 05 14:00:04 GMT 2025","Tue Aug 05 14:00:05 GMT 2025","1629","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[remote]","Connection properly reacts to SQL execution error."
"broken","Tue Aug 05 14:01:37 GMT 2025","Tue Aug 05 14:01:48 GMT 2025","10884","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[remote]","Insert and delete queries are handled properly."
"passed","Tue Aug 05 14:00:11 GMT 2025","Tue Aug 05 14:00:11 GMT 2025","503","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[remote]",""
