"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 03 10:03:17 GMT 2024","Tue Dec 03 10:03:18 GMT 2024","1443","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Dec 03 10:03:22 GMT 2024","Tue Dec 03 10:03:24 GMT 2024","1832","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Dec 03 10:11:02 GMT 2024","Tue Dec 03 10:11:02 GMT 2024","184","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Tue Dec 03 10:03:15 GMT 2024","Tue Dec 03 10:03:16 GMT 2024","812","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"passed","Tue Dec 03 10:03:31 GMT 2024","Tue Dec 03 10:03:32 GMT 2024","1366","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Tue Dec 03 10:03:17 GMT 2024","Tue Dec 03 10:03:18 GMT 2024","703","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"passed","Tue Dec 03 10:03:17 GMT 2024","Tue Dec 03 10:03:18 GMT 2024","1032","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf",""
"passed","Tue Dec 03 10:03:20 GMT 2024","Tue Dec 03 10:03:20 GMT 2024","559","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Tue Dec 03 10:03:14 GMT 2024","Tue Dec 03 10:03:14 GMT 2024","665","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Dec 03 10:03:53 GMT 2024","Tue Dec 03 10:03:55 GMT 2024","1862","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Tue Dec 03 10:10:53 GMT 2024","Tue Dec 03 10:10:55 GMT 2024","1576","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Tue Dec 03 10:03:34 GMT 2024","Tue Dec 03 10:03:34 GMT 2024","191","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography",""
"passed","Tue Dec 03 10:03:55 GMT 2024","Tue Dec 03 10:03:55 GMT 2024","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Tue Dec 03 10:03:29 GMT 2024","Tue Dec 03 10:03:33 GMT 2024","4216","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Dec 03 10:03:22 GMT 2024","Tue Dec 03 10:03:23 GMT 2024","855","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
