"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 02 13:04:52 GMT 2024","Mon Dec 02 13:12:27 GMT 2024","455699","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Mon Dec 02 13:05:46 GMT 2024","Mon Dec 02 13:05:46 GMT 2024","53","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Mon Dec 02 13:04:53 GMT 2024","Mon Dec 02 13:04:54 GMT 2024","555","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Mon Dec 02 13:04:46 GMT 2024","Mon Dec 02 13:12:22 GMT 2024","456171","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Mon Dec 02 13:12:28 GMT 2024","Mon Dec 02 13:12:28 GMT 2024","484","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Mon Dec 02 13:04:59 GMT 2024","Mon Dec 02 13:05:00 GMT 2024","360","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Mon Dec 02 13:08:08 GMT 2024","Mon Dec 02 13:08:09 GMT 2024","892","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_use_engine",""
"passed","Mon Dec 02 13:04:51 GMT 2024","Mon Dec 02 13:04:51 GMT 2024","52","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan",""
"passed","Mon Dec 02 13:04:56 GMT 2024","Mon Dec 02 13:04:58 GMT 2024","1116","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Mon Dec 02 13:04:53 GMT 2024","Mon Dec 02 13:04:55 GMT 2024","2322","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Mon Dec 02 13:05:47 GMT 2024","Mon Dec 02 13:05:47 GMT 2024","57","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"skipped","Mon Dec 02 13:04:45 GMT 2024","Mon Dec 02 13:04:45 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
