"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 09 07:39:51 GMT 2025","Wed Apr 09 07:39:52 GMT 2025","1276","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Wed Apr 09 07:39:53 GMT 2025","Wed Apr 09 07:39:53 GMT 2025","171","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query_with_special_chars","Query parameters are handled properly."
"skipped","Wed Apr 09 07:39:50 GMT 2025","Wed Apr 09 07:39:50 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Wed Apr 09 07:39:52 GMT 2025","Wed Apr 09 07:39:54 GMT 2025","1203","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Wed Apr 09 07:39:42 GMT 2025","Wed Apr 09 07:39:44 GMT 2025","1028","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Wed Apr 09 07:40:01 GMT 2025","Wed Apr 09 07:40:05 GMT 2025","3627","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Wed Apr 09 07:42:35 GMT 2025","Wed Apr 09 07:42:35 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Wed Apr 09 07:39:54 GMT 2025","Wed Apr 09 07:39:56 GMT 2025","1751","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Wed Apr 09 07:39:57 GMT 2025","Wed Apr 09 07:39:59 GMT 2025","1704","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Wed Apr 09 07:39:41 GMT 2025","Wed Apr 09 07:39:42 GMT 2025","996","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Wed Apr 09 07:39:41 GMT 2025","Wed Apr 09 07:39:42 GMT 2025","866","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Wed Apr 09 07:39:41 GMT 2025","Wed Apr 09 07:39:42 GMT 2025","1236","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"passed","Wed Apr 09 07:40:10 GMT 2025","Wed Apr 09 07:40:11 GMT 2025","1114","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout",""
"passed","Wed Apr 09 07:39:52 GMT 2025","Wed Apr 09 07:39:52 GMT 2025","167","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
"passed","Wed Apr 09 07:39:53 GMT 2025","Wed Apr 09 07:39:54 GMT 2025","696","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
