"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 16:35:01 GMT 2025","Mon Feb 03 16:35:02 GMT 2025","693","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars","Query parameters are handled properly."
"passed","Mon Feb 03 16:42:41 GMT 2025","Mon Feb 03 16:42:42 GMT 2025","1431","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Mon Feb 03 16:35:32 GMT 2025","Mon Feb 03 16:35:33 GMT 2025","1106","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Mon Feb 03 16:38:03 GMT 2025","Mon Feb 03 16:38:03 GMT 2025","47","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Mon Feb 03 16:35:42 GMT 2025","Mon Feb 03 16:35:43 GMT 2025","1152","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout",""
"passed","Mon Feb 03 16:35:09 GMT 2025","Mon Feb 03 16:35:10 GMT 2025","275","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Mon Feb 03 16:35:43 GMT 2025","Mon Feb 03 16:42:18 GMT 2025","395670","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Mon Feb 03 16:35:08 GMT 2025","Mon Feb 03 16:35:09 GMT 2025","1697","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Mon Feb 03 16:34:59 GMT 2025","Mon Feb 03 16:35:01 GMT 2025","1551","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Mon Feb 03 16:35:21 GMT 2025","Mon Feb 03 16:35:22 GMT 2025","841","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Mon Feb 03 16:38:03 GMT 2025","Mon Feb 03 16:38:03 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Mon Feb 03 16:35:02 GMT 2025","Mon Feb 03 16:35:04 GMT 2025","1368","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon Feb 03 16:35:12 GMT 2025","Mon Feb 03 16:35:13 GMT 2025","527","tests.integration.dbapi.sync.V2","test_queries","","","","test_select","Select handles all data types properly."
"passed","Mon Feb 03 16:38:32 GMT 2025","Mon Feb 03 16:38:33 GMT 2025","877","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running",""
"passed","Mon Feb 03 16:38:03 GMT 2025","Mon Feb 03 16:38:03 GMT 2025","47","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Mon Feb 03 16:35:20 GMT 2025","Mon Feb 03 16:35:22 GMT 2025","2158","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Mon Feb 03 16:35:04 GMT 2025","Mon Feb 03 16:35:09 GMT 2025","5012","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Mon Feb 03 16:35:07 GMT 2025","Mon Feb 03 16:35:08 GMT 2025","829","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_fails",""
"passed","Mon Feb 03 16:34:59 GMT 2025","Mon Feb 03 16:35:00 GMT 2025","748","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Mon Feb 03 16:35:01 GMT 2025","Mon Feb 03 16:42:41 GMT 2025","460026","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
