"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 10 11:25:53 GMT 2025","Fri Jan 10 11:25:53 GMT 2025","627","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"passed","Fri Jan 10 11:26:05 GMT 2025","Fri Jan 10 11:26:05 GMT 2025","542","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Fri Jan 10 11:26:05 GMT 2025","Fri Jan 10 11:26:05 GMT 2025","485","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Fri Jan 10 11:26:15 GMT 2025","Fri Jan 10 11:27:01 GMT 2025","46132","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Fri Jan 10 11:25:59 GMT 2025","Fri Jan 10 11:26:00 GMT 2025","1194","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Fri Jan 10 11:26:12 GMT 2025","Fri Jan 10 11:26:13 GMT 2025","1392","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct",""
"passed","Fri Jan 10 11:25:54 GMT 2025","Fri Jan 10 11:26:00 GMT 2025","5932","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Fri Jan 10 11:26:01 GMT 2025","Fri Jan 10 11:26:01 GMT 2025","58","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Fri Jan 10 11:25:59 GMT 2025","Fri Jan 10 11:25:59 GMT 2025","195","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Fri Jan 10 11:26:01 GMT 2025","Fri Jan 10 11:26:02 GMT 2025","1697","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Fri Jan 10 11:26:02 GMT 2025","Fri Jan 10 11:26:03 GMT 2025","1721","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Fri Jan 10 11:25:57 GMT 2025","Fri Jan 10 11:25:57 GMT 2025","398","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Fri Jan 10 11:26:35 GMT 2025","Fri Jan 10 11:26:35 GMT 2025","47","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Fri Jan 10 11:25:59 GMT 2025","Fri Jan 10 11:25:59 GMT 2025","76","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan",""
"passed","Fri Jan 10 11:27:01 GMT 2025","Fri Jan 10 11:31:51 GMT 2025","289832","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"skipped","Fri Jan 10 11:25:56 GMT 2025","Fri Jan 10 11:25:56 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
