"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 10:40:03 GMT 2025","Thu Aug 07 10:40:04 GMT 2025","895","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Thu Aug 07 10:39:59 GMT 2025","Thu Aug 07 10:39:59 GMT 2025","150","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Thu Aug 07 10:48:57 GMT 2025","Thu Aug 07 10:48:58 GMT 2025","735","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Thu Aug 07 10:39:50 GMT 2025","Thu Aug 07 10:40:51 GMT 2025","60836","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Thu Aug 07 10:40:00 GMT 2025","Thu Aug 07 10:48:57 GMT 2025","536892","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[remote]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"skipped","Thu Aug 07 10:39:47 GMT 2025","Thu Aug 07 10:39:47 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[remote]","Auth refreshes token on expiration/invalidation"
"passed","Thu Aug 07 10:39:49 GMT 2025","Thu Aug 07 10:39:50 GMT 2025","1132","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Thu Aug 07 10:41:07 GMT 2025","Thu Aug 07 10:41:08 GMT 2025","1292","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[remote]",""
"passed","Thu Aug 07 10:39:51 GMT 2025","Thu Aug 07 10:39:52 GMT 2025","731","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_decimal[remote]",""
"passed","Thu Aug 07 10:39:59 GMT 2025","Thu Aug 07 10:39:59 GMT 2025","83","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Thu Aug 07 10:40:06 GMT 2025","Thu Aug 07 10:40:06 GMT 2025","835","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Thu Aug 07 10:40:28 GMT 2025","Thu Aug 07 10:40:31 GMT 2025","2777","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_query_fails[remote]",""
"passed","Thu Aug 07 10:40:52 GMT 2025","Thu Aug 07 10:47:04 GMT 2025","372450","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Thu Aug 07 10:40:33 GMT 2025","Thu Aug 07 10:41:49 GMT 2025","75986","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[remote]",""
"passed","Thu Aug 07 10:40:32 GMT 2025","Thu Aug 07 10:40:32 GMT 2025","162","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_select[remote]","Select handles all data types properly."
"passed","Thu Aug 07 10:40:48 GMT 2025","Thu Aug 07 10:40:49 GMT 2025","396","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error[remote]","Select handles errors properly."
"passed","Thu Aug 07 10:40:11 GMT 2025","Thu Aug 07 10:40:11 GMT 2025","85","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_not_enough_params","Test fb_numeric paramstyle: not enough parameters supplied."
"passed","Thu Aug 07 10:40:31 GMT 2025","Thu Aug 07 10:40:31 GMT 2025","31","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Thu Aug 07 10:39:55 GMT 2025","Thu Aug 07 10:39:56 GMT 2025","1129","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Thu Aug 07 10:39:59 GMT 2025","Thu Aug 07 10:40:00 GMT 2025","458","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Thu Aug 07 10:40:02 GMT 2025","Thu Aug 07 10:40:02 GMT 2025","30","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[remote]",""
"passed","Thu Aug 07 10:48:44 GMT 2025","Thu Aug 07 10:48:45 GMT 2025","432","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[remote]","Query parameters are handled properly."
"passed","Thu Aug 07 10:39:59 GMT 2025","Thu Aug 07 10:39:59 GMT 2025","208","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[remote]","Select handles all data types properly."
"passed","Thu Aug 07 10:40:12 GMT 2025","Thu Aug 07 10:40:12 GMT 2025","36","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_quoted_decimal[remote]",""
"passed","Thu Aug 07 10:39:53 GMT 2025","Thu Aug 07 10:40:06 GMT 2025","13289","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async[remote]",""
"skipped","Thu Aug 07 10:39:58 GMT 2025","Thu Aug 07 10:39:58 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Thu Aug 07 10:40:50 GMT 2025","Thu Aug 07 10:40:50 GMT 2025","228","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Thu Aug 07 10:39:47 GMT 2025","Thu Aug 07 10:39:48 GMT 2025","922","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Thu Aug 07 10:39:58 GMT 2025","Thu Aug 07 10:39:59 GMT 2025","1075","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Thu Aug 07 10:39:52 GMT 2025","Thu Aug 07 10:39:52 GMT 2025","89","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_quoted_bigint[remote]",""
"passed","Thu Aug 07 10:39:50 GMT 2025","Thu Aug 07 10:39:51 GMT 2025","718","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_not_enough_params","Test fb_numeric paramstyle: not enough parameters supplied."
