"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 09 13:17:50 GMT 2025","Wed Jul 09 13:17:50 GMT 2025","32","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"passed","Wed Jul 09 13:17:50 GMT 2025","Wed Jul 09 13:17:50 GMT 2025","57","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Wed Jul 09 13:17:53 GMT 2025","Wed Jul 09 13:17:53 GMT 2025","38","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Wed Jul 09 13:17:50 GMT 2025","Wed Jul 09 13:17:51 GMT 2025","513","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"skipped","Wed Jul 09 13:17:54 GMT 2025","Wed Jul 09 13:17:54 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Wed Jul 09 13:17:49 GMT 2025","Wed Jul 09 13:17:50 GMT 2025","68","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[core]","Select handles all data types properly."
"skipped","Wed Jul 09 13:17:50 GMT 2025","Wed Jul 09 13:17:50 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"skipped","Wed Jul 09 13:17:52 GMT 2025","Wed Jul 09 13:17:52 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Wed Jul 09 13:17:53 GMT 2025","Wed Jul 09 13:17:53 GMT 2025","6","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Wed Jul 09 13:17:54 GMT 2025","Wed Jul 09 13:17:55 GMT 2025","180","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
