"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 15:16:45 GMT 2025","Tue Jul 22 15:16:59 GMT 2025","13489","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async[remote]",""
"passed","Tue Jul 22 15:16:13 GMT 2025","Tue Jul 22 15:16:27 GMT 2025","13933","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async[remote]",""
"passed","Tue Jul 22 15:16:34 GMT 2025","Tue Jul 22 15:16:36 GMT 2025","1634","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Tue Jul 22 15:16:07 GMT 2025","Tue Jul 22 15:16:08 GMT 2025","782","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[remote]",""
"passed","Tue Jul 22 15:16:06 GMT 2025","Tue Jul 22 15:16:07 GMT 2025","1056","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"failed","Tue Jul 22 15:16:26 GMT 2025","Tue Jul 22 15:25:36 GMT 2025","549602","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[remote]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Jul 22 15:16:13 GMT 2025","Tue Jul 22 15:16:18 GMT 2025","4454","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_from_another_connection[remote]",""
"skipped","Tue Jul 22 15:16:21 GMT 2025","Tue Jul 22 15:16:21 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Jul 22 15:16:07 GMT 2025","Tue Jul 22 15:16:08 GMT 2025","1690","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[remote]","Select handles all data types properly."
"passed","Tue Jul 22 15:16:08 GMT 2025","Tue Jul 22 15:16:11 GMT 2025","3095","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Tue Jul 22 15:18:30 GMT 2025","Tue Jul 22 15:18:30 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Tue Jul 22 15:16:08 GMT 2025","Tue Jul 22 15:16:10 GMT 2025","2827","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert[remote]","Insert and delete queries are handled properly."
"passed","Tue Jul 22 15:18:30 GMT 2025","Tue Jul 22 15:18:30 GMT 2025","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Tue Jul 22 15:16:31 GMT 2025","Tue Jul 22 15:16:31 GMT 2025","748","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query[remote]","Query parameters are handled properly."
"passed","Tue Jul 22 15:16:27 GMT 2025","Tue Jul 22 15:16:30 GMT 2025","3354","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails[remote]",""
"passed","Tue Jul 22 15:16:38 GMT 2025","Tue Jul 22 15:16:38 GMT 2025","229","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[remote]",""
"passed","Tue Jul 22 15:16:32 GMT 2025","Tue Jul 22 15:16:34 GMT 2025","2085","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Tue Jul 22 15:16:18 GMT 2025","Tue Jul 22 15:16:20 GMT 2025","1525","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Tue Jul 22 15:16:14 GMT 2025","Tue Jul 22 15:16:15 GMT 2025","1391","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Tue Jul 22 15:17:22 GMT 2025","Tue Jul 22 15:17:22 GMT 2025","487","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Tue Jul 22 15:16:06 GMT 2025","Tue Jul 22 15:16:07 GMT 2025","1089","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Jul 22 15:16:09 GMT 2025","Tue Jul 22 15:16:11 GMT 2025","1459","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[remote]",""
"passed","Tue Jul 22 15:18:30 GMT 2025","Tue Jul 22 15:18:30 GMT 2025","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Tue Jul 22 15:16:23 GMT 2025","Tue Jul 22 15:16:23 GMT 2025","214","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[remote]","Connection properly reacts to sql execution error."
"passed","Tue Jul 22 15:16:27 GMT 2025","Tue Jul 22 15:16:29 GMT 2025","1561","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Tue Jul 22 15:16:10 GMT 2025","Tue Jul 22 15:16:12 GMT 2025","2020","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip[remote]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Jul 22 15:16:08 GMT 2025","Tue Jul 22 15:16:10 GMT 2025","2401","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query[remote]","Query parameters are handled properly"
"passed","Tue Jul 22 15:16:06 GMT 2025","Tue Jul 22 15:16:08 GMT 2025","1664","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[remote]","Connection properly reacts to SQL execution error."
"passed","Tue Jul 22 15:17:19 GMT 2025","Tue Jul 22 15:17:20 GMT 2025","1431","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_use_engine",""
"passed","Tue Jul 22 15:16:36 GMT 2025","Tue Jul 22 15:16:37 GMT 2025","765","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[remote]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Jul 22 15:18:29 GMT 2025","Tue Jul 22 15:18:30 GMT 2025","557","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[remote]","Select handles errors properly."
"passed","Tue Jul 22 15:16:24 GMT 2025","Tue Jul 22 15:16:24 GMT 2025","664","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Jul 22 15:18:30 GMT 2025","Tue Jul 22 15:18:30 GMT 2025","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Tue Jul 22 15:16:08 GMT 2025","Tue Jul 22 15:16:10 GMT 2025","2055","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query[remote]","Query parameters are handled properly."
"passed","Tue Jul 22 15:16:25 GMT 2025","Tue Jul 22 15:16:26 GMT 2025","648","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[remote]","Select handles all data types properly."
"passed","Tue Jul 22 15:16:23 GMT 2025","Tue Jul 22 15:16:23 GMT 2025","269","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Tue Jul 22 15:16:43 GMT 2025","Tue Jul 22 15:16:45 GMT 2025","1969","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_not_enough_params","Test fb_numeric paramstyle: not enough parameters supplied."
"passed","Tue Jul 22 15:16:17 GMT 2025","Tue Jul 22 15:16:18 GMT 2025","1437","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_select[remote]","Select handles all data types properly."
"passed","Tue Jul 22 15:17:18 GMT 2025","Tue Jul 22 15:17:19 GMT 2025","819","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Jul 22 15:17:14 GMT 2025","Tue Jul 22 15:18:29 GMT 2025","74377","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[remote]",""
"passed","Tue Jul 22 15:16:11 GMT 2025","Tue Jul 22 15:17:34 GMT 2025","82982","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Jul 22 15:16:24 GMT 2025","Tue Jul 22 15:16:24 GMT 2025","654","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"skipped","Tue Jul 22 15:16:23 GMT 2025","Tue Jul 22 15:16:23 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Jul 22 15:16:31 GMT 2025","Tue Jul 22 15:16:33 GMT 2025","1615","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Tue Jul 22 15:16:30 GMT 2025","Tue Jul 22 15:16:31 GMT 2025","789","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[remote]","Query parameters are handled properly"
"passed","Tue Jul 22 15:17:17 GMT 2025","Tue Jul 22 15:17:18 GMT 2025","952","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Tue Jul 22 15:17:35 GMT 2025","Tue Jul 22 15:21:54 GMT 2025","258554","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Tue Jul 22 15:16:18 GMT 2025","Tue Jul 22 15:17:15 GMT 2025","56278","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[remote]",""
