"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 29 12:57:19 GMT 2025","Tue Jul 29 12:57:20 GMT 2025","1126","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Tue Jul 29 12:56:42 GMT 2025","Tue Jul 29 12:56:43 GMT 2025","540","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_not_enough_params","Test fb_numeric paramstyle: not enough parameters supplied."
"passed","Tue Jul 29 12:57:42 GMT 2025","Tue Jul 29 12:57:42 GMT 2025","54","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Tue Jul 29 12:56:12 GMT 2025","Tue Jul 29 12:56:13 GMT 2025","1084","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[remote]",""
"passed","Tue Jul 29 13:05:29 GMT 2025","Tue Jul 29 13:05:30 GMT 2025","1031","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[remote]","Query parameters are handled properly"
"passed","Tue Jul 29 12:57:20 GMT 2025","Tue Jul 29 12:58:18 GMT 2025","58547","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Tue Jul 29 12:57:20 GMT 2025","Tue Jul 29 13:01:26 GMT 2025","246165","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Tue Jul 29 12:57:24 GMT 2025","Tue Jul 29 12:57:25 GMT 2025","1528","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Jul 29 12:57:03 GMT 2025","Tue Jul 29 12:57:07 GMT 2025","4293","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_from_another_connection[remote]",""
"passed","Tue Jul 29 12:57:42 GMT 2025","Tue Jul 29 12:57:42 GMT 2025","65","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Tue Jul 29 12:56:44 GMT 2025","Tue Jul 29 12:56:44 GMT 2025","574","tests.integration.dbapi.sync.V2","test_queries","","","","test_fb_numeric_paramstyle_incorrect_params",""
"skipped","Tue Jul 29 12:56:23 GMT 2025","Tue Jul 29 12:56:23 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Jul 29 12:57:01 GMT 2025","Tue Jul 29 12:57:03 GMT 2025","2158","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Tue Jul 29 12:56:19 GMT 2025","Tue Jul 29 12:56:21 GMT 2025","2228","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine",""
"passed","Tue Jul 29 12:57:19 GMT 2025","Tue Jul 29 12:57:20 GMT 2025","426","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Tue Jul 29 12:57:42 GMT 2025","Tue Jul 29 12:57:42 GMT 2025","54","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Jul 29 12:56:33 GMT 2025","Tue Jul 29 12:56:35 GMT 2025","1765","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Tue Jul 29 12:56:02 GMT 2025","Tue Jul 29 12:56:06 GMT 2025","3263","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Jul 29 12:56:23 GMT 2025","Tue Jul 29 12:56:24 GMT 2025","406","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Tue Jul 29 12:56:16 GMT 2025","Tue Jul 29 12:56:18 GMT 2025","1748","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running[remote]",""
