"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 28 13:05:05 GMT 2025","Tue Jan 28 13:05:05 GMT 2025","479","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Jan 28 13:05:02 GMT 2025","Tue Jan 28 13:05:03 GMT 2025","817","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine",""
"passed","Tue Jan 28 13:05:35 GMT 2025","Tue Jan 28 13:05:35 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Tue Jan 28 13:05:35 GMT 2025","Tue Jan 28 13:05:35 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"passed","Tue Jan 28 13:05:04 GMT 2025","Tue Jan 28 13:05:05 GMT 2025","154","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Jan 28 13:05:06 GMT 2025","Tue Jan 28 13:05:07 GMT 2025","1479","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Tue Jan 28 13:05:10 GMT 2025","Tue Jan 28 13:05:12 GMT 2025","1144","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct",""
"passed","Tue Jan 28 13:05:09 GMT 2025","Tue Jan 28 13:05:10 GMT 2025","1058","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"skipped","Tue Jan 28 13:05:03 GMT 2025","Tue Jan 28 13:05:03 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Jan 28 13:05:10 GMT 2025","Tue Jan 28 13:05:10 GMT 2025","149","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Tue Jan 28 13:04:58 GMT 2025","Tue Jan 28 13:05:32 GMT 2025","33796","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Jan 28 13:05:17 GMT 2025","Tue Jan 28 13:11:16 GMT 2025","358807","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Tue Jan 28 13:05:04 GMT 2025","Tue Jan 28 13:05:04 GMT 2025","240","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"passed","Tue Jan 28 13:12:45 GMT 2025","Tue Jan 28 13:12:46 GMT 2025","1112","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Jan 28 13:04:58 GMT 2025","Tue Jan 28 13:04:58 GMT 2025","200","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography",""
"passed","Tue Jan 28 13:05:10 GMT 2025","Tue Jan 28 13:05:13 GMT 2025","3279","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Jan 28 13:05:12 GMT 2025","Tue Jan 28 13:05:14 GMT 2025","2448","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async",""
