"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 29 15:24:25 GMT 2025","Tue Apr 29 15:24:25 GMT 2025","861","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Tue Apr 29 15:25:13 GMT 2025","Tue Apr 29 15:25:13 GMT 2025","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Tue Apr 29 15:24:13 GMT 2025","Tue Apr 29 15:24:15 GMT 2025","2724","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails",""
"passed","Tue Apr 29 15:24:33 GMT 2025","Tue Apr 29 15:24:33 GMT 2025","340","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running",""
"passed","Tue Apr 29 15:24:30 GMT 2025","Tue Apr 29 15:24:30 GMT 2025","32","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography",""
"passed","Tue Apr 29 15:24:09 GMT 2025","Tue Apr 29 15:24:10 GMT 2025","603","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"skipped","Tue Apr 29 15:24:18 GMT 2025","Tue Apr 29 15:24:18 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Apr 29 15:24:11 GMT 2025","Tue Apr 29 15:24:16 GMT 2025","4425","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Apr 29 15:24:55 GMT 2025","Tue Apr 29 15:31:03 GMT 2025","367374","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Tue Apr 29 15:24:12 GMT 2025","Tue Apr 29 15:24:12 GMT 2025","834","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf",""
"passed","Tue Apr 29 15:32:10 GMT 2025","Tue Apr 29 15:32:11 GMT 2025","501","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"passed","Tue Apr 29 15:24:09 GMT 2025","Tue Apr 29 15:24:10 GMT 2025","490","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
