"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 09 13:55:26 GMT 2025","Wed Jul 09 13:55:30 GMT 2025","4087","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Wed Jul 09 13:55:44 GMT 2025","Wed Jul 09 13:55:45 GMT 2025","847","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Wed Jul 09 13:55:39 GMT 2025","Wed Jul 09 13:55:40 GMT 2025","1381","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Wed Jul 09 14:03:28 GMT 2025","Wed Jul 09 14:03:29 GMT 2025","485","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[remote]","Insert and delete queries are handled properly."
"passed","Wed Jul 09 13:55:35 GMT 2025","Wed Jul 09 13:55:36 GMT 2025","943","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Wed Jul 09 13:55:31 GMT 2025","Wed Jul 09 13:55:33 GMT 2025","1305","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Wed Jul 09 13:55:24 GMT 2025","Wed Jul 09 13:55:24 GMT 2025","460","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[remote]",""
"passed","Wed Jul 09 13:55:27 GMT 2025","Wed Jul 09 13:55:29 GMT 2025","2089","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[remote]",""
"passed","Wed Jul 09 13:55:26 GMT 2025","Wed Jul 09 13:58:35 GMT 2025","189013","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Wed Jul 09 13:55:34 GMT 2025","Wed Jul 09 13:55:34 GMT 2025","217","tests.integration.dbapi.sync.V2","test_queries","","","","test_select[remote]","Select handles all data types properly."
"passed","Wed Jul 09 13:55:31 GMT 2025","Wed Jul 09 13:56:28 GMT 2025","56774","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[remote]",""
"skipped","Wed Jul 09 13:55:23 GMT 2025","Wed Jul 09 13:55:23 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token[remote]","Auth refreshes token on expiration/invalidation"
"passed","Wed Jul 09 13:56:30 GMT 2025","Wed Jul 09 13:56:31 GMT 2025","682","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Wed Jul 09 13:55:45 GMT 2025","Wed Jul 09 13:55:46 GMT 2025","354","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Wed Jul 09 14:02:26 GMT 2025","Wed Jul 09 14:05:12 GMT 2025","166783","tests.integration.resource_manager.V2","test_engine","","","","test_engine_rename",""
"passed","Wed Jul 09 13:56:14 GMT 2025","Wed Jul 09 13:56:14 GMT 2025","65","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Wed Jul 09 13:56:16 GMT 2025","Wed Jul 09 13:56:17 GMT 2025","949","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[remote]","Select handles multiple records properly."
"passed","Wed Jul 09 13:55:26 GMT 2025","Wed Jul 09 13:55:26 GMT 2025","463","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[remote]",""
"passed","Wed Jul 09 13:56:32 GMT 2025","Wed Jul 09 13:56:33 GMT 2025","1044","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Wed Jul 09 13:55:23 GMT 2025","Wed Jul 09 13:55:24 GMT 2025","414","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Wed Jul 09 13:58:37 GMT 2025","Wed Jul 09 13:58:37 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Wed Jul 09 13:57:36 GMT 2025","Wed Jul 09 14:02:26 GMT 2025","289324","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Wed Jul 09 13:55:33 GMT 2025","Wed Jul 09 13:55:33 GMT 2025","302","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"skipped","Wed Jul 09 13:55:33 GMT 2025","Wed Jul 09 13:55:33 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Wed Jul 09 13:55:40 GMT 2025","Wed Jul 09 13:55:41 GMT 2025","1285","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
