"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 29 10:29:55 GMT 2025","Tue Apr 29 10:29:55 GMT 2025","21","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query_with_special_chars","Query parameters are handled properly."
"passed","Tue Apr 29 10:32:47 GMT 2025","Tue Apr 29 10:36:48 GMT 2025","240983","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Tue Apr 29 10:29:55 GMT 2025","Tue Apr 29 10:29:57 GMT 2025","1552","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Tue Apr 29 10:29:47 GMT 2025","Tue Apr 29 10:34:02 GMT 2025","254820","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"skipped","Tue Apr 29 10:29:45 GMT 2025","Tue Apr 29 10:29:45 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Tue Apr 29 10:29:55 GMT 2025","Tue Apr 29 10:29:55 GMT 2025","34","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Tue Apr 29 10:35:55 GMT 2025","Tue Apr 29 10:37:07 GMT 2025","72008","tests.integration.resource_manager.V2","test_engine","","","","test_engine_rename",""
"passed","Tue Apr 29 10:29:45 GMT 2025","Tue Apr 29 10:29:46 GMT 2025","383","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Apr 29 10:30:47 GMT 2025","Tue Apr 29 10:30:47 GMT 2025","281","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Tue Apr 29 10:30:46 GMT 2025","Tue Apr 29 10:30:46 GMT 2025","231","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching","Select handles errors properly during fetching."
"passed","Tue Apr 29 10:29:54 GMT 2025","Tue Apr 29 10:29:54 GMT 2025","85","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Tue Apr 29 10:29:53 GMT 2025","Tue Apr 29 10:29:53 GMT 2025","105","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Apr 29 10:29:56 GMT 2025","Tue Apr 29 10:29:57 GMT 2025","1307","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Tue Apr 29 10:29:55 GMT 2025","Tue Apr 29 10:29:55 GMT 2025","149","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Apr 29 10:36:48 GMT 2025","Tue Apr 29 10:36:48 GMT 2025","47","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Apr 29 10:29:48 GMT 2025","Tue Apr 29 10:29:50 GMT 2025","2830","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async",""
"passed","Tue Apr 29 10:29:55 GMT 2025","Tue Apr 29 10:29:55 GMT 2025","322","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Apr 29 10:29:49 GMT 2025","Tue Apr 29 10:29:52 GMT 2025","3118","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Tue Apr 29 10:30:00 GMT 2025","Tue Apr 29 10:30:05 GMT 2025","4843","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Apr 29 10:29:47 GMT 2025","Tue Apr 29 10:29:48 GMT 2025","624","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Apr 29 10:37:35 GMT 2025","Tue Apr 29 10:37:36 GMT 2025","797","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Apr 29 10:29:46 GMT 2025","Tue Apr 29 10:37:27 GMT 2025","461330","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Tue Apr 29 10:30:14 GMT 2025","Tue Apr 29 10:30:15 GMT 2025","514","tests.integration.dbapi.sync.V2","test_server_async","","","","test_cancel_async_query",""
"passed","Tue Apr 29 10:30:47 GMT 2025","Tue Apr 29 10:30:47 GMT 2025","178","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Apr 29 10:37:27 GMT 2025","Tue Apr 29 10:37:28 GMT 2025","364","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars","Query parameters are handled properly."
"passed","Tue Apr 29 10:29:48 GMT 2025","Tue Apr 29 10:29:49 GMT 2025","219","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_fails",""
"passed","Tue Apr 29 10:29:46 GMT 2025","Tue Apr 29 10:29:47 GMT 2025","1036","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Apr 29 10:29:54 GMT 2025","Tue Apr 29 10:29:54 GMT 2025","18","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
"passed","Tue Apr 29 10:29:59 GMT 2025","Tue Apr 29 10:30:00 GMT 2025","1299","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Tue Apr 29 10:36:48 GMT 2025","Tue Apr 29 10:36:48 GMT 2025","48","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Tue Apr 29 10:29:56 GMT 2025","Tue Apr 29 10:29:56 GMT 2025","355","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Tue Apr 29 10:29:54 GMT 2025","Tue Apr 29 10:29:54 GMT 2025","23","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"passed","Tue Apr 29 10:29:57 GMT 2025","Tue Apr 29 10:29:59 GMT 2025","1366","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"skipped","Tue Apr 29 10:29:45 GMT 2025","Tue Apr 29 10:29:45 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Tue Apr 29 10:29:53 GMT 2025","Tue Apr 29 10:29:54 GMT 2025","545","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error_during_fetching","Select handles errors properly during fetching."
"passed","Tue Apr 29 10:30:16 GMT 2025","Tue Apr 29 10:31:32 GMT 2025","75898","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory",""
"passed","Tue Apr 29 10:33:46 GMT 2025","Tue Apr 29 10:33:47 GMT 2025","584","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Apr 29 10:30:00 GMT 2025","Tue Apr 29 10:30:00 GMT 2025","211","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
