"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 13:12:11 GMT 2025","Tue Apr 15 13:12:14 GMT 2025","3594","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Tue Apr 15 13:15:06 GMT 2025","Tue Apr 15 13:15:07 GMT 2025","977","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running",""
"passed","Tue Apr 15 13:12:15 GMT 2025","Tue Apr 15 13:12:15 GMT 2025","431","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_error","Select handles errors properly."
"passed","Tue Apr 15 13:15:07 GMT 2025","Tue Apr 15 13:15:07 GMT 2025","47","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Tue Apr 15 13:12:18 GMT 2025","Tue Apr 15 13:12:18 GMT 2025","141","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"passed","Tue Apr 15 13:12:15 GMT 2025","Tue Apr 15 13:12:16 GMT 2025","572","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Tue Apr 15 13:15:07 GMT 2025","Tue Apr 15 13:15:07 GMT 2025","47","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Apr 15 13:12:07 GMT 2025","Tue Apr 15 13:12:09 GMT 2025","1604","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Apr 15 13:12:28 GMT 2025","Tue Apr 15 13:12:31 GMT 2025","2675","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async",""
"passed","Tue Apr 15 13:12:20 GMT 2025","Tue Apr 15 13:12:21 GMT 2025","635","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Apr 15 13:12:10 GMT 2025","Tue Apr 15 13:12:11 GMT 2025","436","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"passed","Tue Apr 15 13:12:19 GMT 2025","Tue Apr 15 13:12:19 GMT 2025","398","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Apr 15 13:15:07 GMT 2025","Tue Apr 15 13:15:07 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Tue Apr 15 13:12:16 GMT 2025","Tue Apr 15 13:12:17 GMT 2025","1060","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"broken","Tue Apr 15 13:12:15 GMT 2025","Tue Apr 15 13:12:27 GMT 2025","12191","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory",""
"passed","Tue Apr 15 13:12:27 GMT 2025","Tue Apr 15 13:12:31 GMT 2025","4145","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Apr 15 13:12:08 GMT 2025","Tue Apr 15 13:12:09 GMT 2025","1159","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Tue Apr 15 13:12:09 GMT 2025","Tue Apr 15 13:12:10 GMT 2025","638","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter",""
"passed","Tue Apr 15 13:12:23 GMT 2025","Tue Apr 15 13:12:24 GMT 2025","1384","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Tue Apr 15 13:12:17 GMT 2025","Tue Apr 15 13:12:17 GMT 2025","163","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Apr 15 13:12:32 GMT 2025","Tue Apr 15 13:12:35 GMT 2025","2520","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_query_fails",""
"passed","Tue Apr 15 13:12:24 GMT 2025","Tue Apr 15 13:12:26 GMT 2025","2046","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Tue Apr 15 13:12:37 GMT 2025","Tue Apr 15 13:12:37 GMT 2025","127","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error","Select handles errors properly."
"passed","Tue Apr 15 13:20:02 GMT 2025","Tue Apr 15 13:20:03 GMT 2025","687","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"passed","Tue Apr 15 13:15:07 GMT 2025","Tue Apr 15 13:15:07 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Tue Apr 15 13:15:38 GMT 2025","Tue Apr 15 13:19:37 GMT 2025","239288","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Tue Apr 15 13:12:21 GMT 2025","Tue Apr 15 13:12:21 GMT 2025","119","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Tue Apr 15 13:12:08 GMT 2025","Tue Apr 15 13:12:09 GMT 2025","585","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"skipped","Tue Apr 15 13:12:07 GMT 2025","Tue Apr 15 13:12:07 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Tue Apr 15 13:12:21 GMT 2025","Tue Apr 15 13:12:22 GMT 2025","606","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Tue Apr 15 13:12:07 GMT 2025","Tue Apr 15 13:12:08 GMT 2025","1369","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"passed","Tue Apr 15 13:12:10 GMT 2025","Tue Apr 15 13:12:10 GMT 2025","727","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf",""
"passed","Tue Apr 15 13:15:07 GMT 2025","Tue Apr 15 13:15:07 GMT 2025","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"passed","Tue Apr 15 13:12:10 GMT 2025","Tue Apr 15 13:12:14 GMT 2025","4631","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Apr 15 13:15:07 GMT 2025","Tue Apr 15 13:15:07 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Tue Apr 15 13:14:54 GMT 2025","Tue Apr 15 13:14:55 GMT 2025","970","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Apr 15 13:19:09 GMT 2025","Tue Apr 15 13:20:29 GMT 2025","79385","tests.integration.resource_manager.V2","test_engine","","","","test_engine_rename",""
"passed","Tue Apr 15 13:15:07 GMT 2025","Tue Apr 15 13:15:07 GMT 2025","47","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Apr 15 13:12:35 GMT 2025","Tue Apr 15 13:12:35 GMT 2025","117","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_fails",""
