"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 17:01:56 GMT 2025","Wed Jul 23 17:01:59 GMT 2025","2920","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_query_fails[remote]",""
"passed","Wed Jul 23 17:00:54 GMT 2025","Wed Jul 23 17:00:56 GMT 2025","1818","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error[remote]","Connection properly reacts to SQL execution error."
"passed","Wed Jul 23 17:01:17 GMT 2025","Wed Jul 23 17:01:18 GMT 2025","860","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert[remote]","Insert and delete queries are handled properly."
"skipped","Wed Jul 23 17:00:54 GMT 2025","Wed Jul 23 17:00:54 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[remote]","Auth raises authentication error on credentials invalidation"
"passed","Wed Jul 23 17:01:26 GMT 2025","Wed Jul 23 17:01:27 GMT 2025","964","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[remote]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Wed Jul 23 17:01:31 GMT 2025","Wed Jul 23 17:01:32 GMT 2025","227","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[remote]",""
"passed","Wed Jul 23 17:02:03 GMT 2025","Wed Jul 23 17:02:04 GMT 2025","1499","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Wed Jul 23 17:02:06 GMT 2025","Wed Jul 23 17:02:07 GMT 2025","586","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[remote]","Select handles errors properly during fetching."
"passed","Wed Jul 23 17:02:03 GMT 2025","Wed Jul 23 17:02:04 GMT 2025","979","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_not_enough_params","Test fb_numeric paramstyle: not enough parameters supplied."
"passed","Wed Jul 23 17:00:55 GMT 2025","Wed Jul 23 17:00:58 GMT 2025","3661","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Wed Jul 23 17:01:06 GMT 2025","Wed Jul 23 17:01:08 GMT 2025","1977","tests.integration.dbapi.async.V2","test_server_async","","","","test_cancel_async_query[remote]",""
"passed","Wed Jul 23 17:01:11 GMT 2025","Wed Jul 23 17:01:11 GMT 2025","284","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Wed Jul 23 17:01:24 GMT 2025","Wed Jul 23 17:01:25 GMT 2025","967","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Wed Jul 23 17:00:55 GMT 2025","Wed Jul 23 17:00:55 GMT 2025","938","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Wed Jul 23 17:01:26 GMT 2025","Wed Jul 23 17:01:31 GMT 2025","5088","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"failed","Wed Jul 23 17:01:15 GMT 2025","Wed Jul 23 17:10:25 GMT 2025","549335","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[remote]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Wed Jul 23 17:01:50 GMT 2025","Wed Jul 23 17:01:51 GMT 2025","970","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async_running[remote]",""
"passed","Wed Jul 23 17:01:15 GMT 2025","Wed Jul 23 17:01:16 GMT 2025","1578","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create[remote]","Create and drop table/index queries are handled properly."
"passed","Wed Jul 23 17:02:00 GMT 2025","Wed Jul 23 17:02:00 GMT 2025","223","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Wed Jul 23 17:01:09 GMT 2025","Wed Jul 23 17:01:11 GMT 2025","1579","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Wed Jul 23 17:03:21 GMT 2025","Wed Jul 23 17:03:21 GMT 2025","52","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Wed Jul 23 17:01:14 GMT 2025","Wed Jul 23 17:01:15 GMT 2025","229","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan[remote]",""
"passed","Wed Jul 23 17:02:04 GMT 2025","Wed Jul 23 17:02:05 GMT 2025","233","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[remote]","Select handles errors properly."
"passed","Wed Jul 23 17:01:06 GMT 2025","Wed Jul 23 17:01:07 GMT 2025","640","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_fails[remote]",""
"passed","Wed Jul 23 17:00:59 GMT 2025","Wed Jul 23 17:01:01 GMT 2025","1618","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[remote]",""
"passed","Wed Jul 23 17:01:00 GMT 2025","Wed Jul 23 17:01:01 GMT 2025","1378","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_too_many_params","Test fb_numeric paramstyle: too many parameters supplied (should succeed)."
"passed","Wed Jul 23 17:01:03 GMT 2025","Wed Jul 23 17:01:06 GMT 2025","3502","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails[remote]",""
"passed","Wed Jul 23 17:01:21 GMT 2025","Wed Jul 23 17:01:22 GMT 2025","1583","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Wed Jul 23 17:03:21 GMT 2025","Wed Jul 23 17:03:21 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Wed Jul 23 17:02:08 GMT 2025","Wed Jul 23 17:09:21 GMT 2025","432999","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"broken","Wed Jul 23 17:10:05 GMT 2025","Wed Jul 23 17:10:05 GMT 2025","1","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[remote]","Query parameters are handled properly."
"passed","Wed Jul 23 17:02:07 GMT 2025","Wed Jul 23 17:02:08 GMT 2025","1147","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout[remote]",""
"passed","Wed Jul 23 17:01:04 GMT 2025","Wed Jul 23 17:01:06 GMT 2025","1220","tests.integration.dbapi.async.V2","test_queries_async","","","","test_fb_numeric_paramstyle_all_types","Test fb_numeric paramstyle: insert/select all supported types, and parameter count errors."
"passed","Wed Jul 23 17:03:21 GMT 2025","Wed Jul 23 17:03:21 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
