"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 24 15:38:03 GMT 2024","Tue Dec 24 15:38:04 GMT 2024","484","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Dec 24 15:38:02 GMT 2024","Tue Dec 24 15:38:02 GMT 2024","143","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Tue Dec 24 15:45:54 GMT 2024","Tue Dec 24 15:45:55 GMT 2024","1040","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Tue Dec 24 15:38:02 GMT 2024","Tue Dec 24 15:38:02 GMT 2024","423","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Tue Dec 24 15:37:56 GMT 2024","Tue Dec 24 15:37:58 GMT 2024","1179","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"passed","Tue Dec 24 15:38:08 GMT 2024","Tue Dec 24 15:38:09 GMT 2024","344","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Tue Dec 24 15:38:05 GMT 2024","Tue Dec 24 15:38:06 GMT 2024","592","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Tue Dec 24 15:38:05 GMT 2024","Tue Dec 24 15:38:06 GMT 2024","1833","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Tue Dec 24 15:38:09 GMT 2024","Tue Dec 24 15:38:09 GMT 2024","38","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography",""
"skipped","Tue Dec 24 15:38:01 GMT 2024","Tue Dec 24 15:38:01 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Tue Dec 24 15:41:37 GMT 2024","Tue Dec 24 15:44:22 GMT 2024","165023","tests.integration.resource_manager.V2","test_engine","","","","test_engine_rename",""
"passed","Tue Dec 24 15:38:00 GMT 2024","Tue Dec 24 15:38:01 GMT 2024","1366","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"skipped","Tue Dec 24 15:37:56 GMT 2024","Tue Dec 24 15:37:56 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Tue Dec 24 15:37:59 GMT 2024","Tue Dec 24 15:38:00 GMT 2024","760","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf",""
"passed","Tue Dec 24 15:38:24 GMT 2024","Tue Dec 24 15:38:25 GMT 2024","800","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Dec 24 15:38:31 GMT 2024","Tue Dec 24 15:38:31 GMT 2024","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Tue Dec 24 15:38:09 GMT 2024","Tue Dec 24 15:38:10 GMT 2024","842","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Tue Dec 24 15:38:02 GMT 2024","Tue Dec 24 15:38:02 GMT 2024","29","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
"skipped","Tue Dec 24 15:38:01 GMT 2024","Tue Dec 24 15:38:01 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Tue Dec 24 15:38:13 GMT 2024","Tue Dec 24 15:38:14 GMT 2024","1256","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct",""
"passed","Tue Dec 24 15:38:06 GMT 2024","Tue Dec 24 15:38:08 GMT 2024","1840","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Tue Dec 24 15:38:31 GMT 2024","Tue Dec 24 15:38:31 GMT 2024","48","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Tue Dec 24 15:37:59 GMT 2024","Tue Dec 24 15:38:00 GMT 2024","447","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"passed","Tue Dec 24 15:38:03 GMT 2024","Tue Dec 24 15:38:04 GMT 2024","1244","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Dec 24 15:38:03 GMT 2024","Tue Dec 24 15:38:03 GMT 2024","78","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan",""
