"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 09 16:06:49 GMT 2025","Thu Jan 09 16:06:49 GMT 2025","209","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
"passed","Thu Jan 09 16:07:49 GMT 2025","Thu Jan 09 16:07:51 GMT 2025","1214","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Thu Jan 09 16:06:52 GMT 2025","Thu Jan 09 16:06:53 GMT 2025","840","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Thu Jan 09 16:06:42 GMT 2025","Thu Jan 09 16:06:44 GMT 2025","1478","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Thu Jan 09 16:06:44 GMT 2025","Thu Jan 09 16:06:45 GMT 2025","1464","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Thu Jan 09 16:06:41 GMT 2025","Thu Jan 09 16:06:44 GMT 2025","3128","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Thu Jan 09 16:06:44 GMT 2025","Thu Jan 09 16:06:48 GMT 2025","4532","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"skipped","Thu Jan 09 16:06:48 GMT 2025","Thu Jan 09 16:06:48 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Thu Jan 09 16:08:09 GMT 2025","Thu Jan 09 16:08:09 GMT 2025","51","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Thu Jan 09 16:06:41 GMT 2025","Thu Jan 09 16:06:42 GMT 2025","1489","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"passed","Thu Jan 09 16:06:55 GMT 2025","Thu Jan 09 16:06:58 GMT 2025","2177","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"skipped","Thu Jan 09 16:06:49 GMT 2025","Thu Jan 09 16:06:49 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Thu Jan 09 16:14:35 GMT 2025","Thu Jan 09 16:14:36 GMT 2025","969","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Thu Jan 09 16:08:09 GMT 2025","Thu Jan 09 16:08:09 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Thu Jan 09 16:06:55 GMT 2025","Thu Jan 09 16:06:57 GMT 2025","2135","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
