"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 13 09:42:50 GMT 2024","Fri Dec 13 09:42:51 GMT 2024","390","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography",""
"passed","Fri Dec 13 09:42:51 GMT 2024","Fri Dec 13 09:42:51 GMT 2024","570","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Fri Dec 13 09:45:52 GMT 2024","Fri Dec 13 09:45:52 GMT 2024","48","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"skipped","Fri Dec 13 09:42:47 GMT 2024","Fri Dec 13 09:42:47 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Fri Dec 13 09:45:52 GMT 2024","Fri Dec 13 09:45:52 GMT 2024","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Fri Dec 13 09:42:48 GMT 2024","Fri Dec 13 09:42:49 GMT 2024","700","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Fri Dec 13 09:42:59 GMT 2024","Fri Dec 13 09:43:00 GMT 2024","397","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Fri Dec 13 09:42:56 GMT 2024","Fri Dec 13 09:42:59 GMT 2024","2804","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Fri Dec 13 09:42:48 GMT 2024","Fri Dec 13 09:42:49 GMT 2024","1144","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Fri Dec 13 09:42:53 GMT 2024","Fri Dec 13 09:42:53 GMT 2024","424","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"skipped","Fri Dec 13 09:42:52 GMT 2024","Fri Dec 13 09:42:52 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Fri Dec 13 09:42:48 GMT 2024","Fri Dec 13 09:42:49 GMT 2024","819","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Fri Dec 13 09:43:03 GMT 2024","Fri Dec 13 09:45:57 GMT 2024","173706","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Fri Dec 13 09:42:49 GMT 2024","Fri Dec 13 09:42:50 GMT 2024","1006","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Fri Dec 13 09:42:52 GMT 2024","Fri Dec 13 09:42:52 GMT 2024","511","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Fri Dec 13 09:42:56 GMT 2024","Fri Dec 13 09:42:59 GMT 2024","2591","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Fri Dec 13 09:42:49 GMT 2024","Fri Dec 13 09:42:50 GMT 2024","828","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Fri Dec 13 09:43:03 GMT 2024","Fri Dec 13 09:43:03 GMT 2024","313","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Fri Dec 13 09:42:57 GMT 2024","Fri Dec 13 09:42:59 GMT 2024","2061","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Fri Dec 13 09:42:51 GMT 2024","Fri Dec 13 09:42:52 GMT 2024","232","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"skipped","Fri Dec 13 09:42:47 GMT 2024","Fri Dec 13 09:42:47 GMT 2024","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Fri Dec 13 09:45:52 GMT 2024","Fri Dec 13 09:45:52 GMT 2024","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"skipped","Fri Dec 13 09:42:51 GMT 2024","Fri Dec 13 09:42:51 GMT 2024","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Fri Dec 13 09:46:10 GMT 2024","Fri Dec 13 09:46:14 GMT 2024","3922","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Fri Dec 13 09:42:51 GMT 2024","Fri Dec 13 09:42:51 GMT 2024","58","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Fri Dec 13 09:42:50 GMT 2024","Fri Dec 13 09:42:54 GMT 2024","3897","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Fri Dec 13 09:42:51 GMT 2024","Fri Dec 13 09:42:52 GMT 2024","1272","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Fri Dec 13 09:42:53 GMT 2024","Fri Dec 13 09:50:22 GMT 2024","448685","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Fri Dec 13 09:42:48 GMT 2024","Fri Dec 13 09:42:50 GMT 2024","2528","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Fri Dec 13 09:50:17 GMT 2024","Fri Dec 13 09:50:18 GMT 2024","865","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Fri Dec 13 09:42:55 GMT 2024","Fri Dec 13 09:42:57 GMT 2024","1765","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Fri Dec 13 09:45:52 GMT 2024","Fri Dec 13 09:45:52 GMT 2024","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"passed","Fri Dec 13 09:45:52 GMT 2024","Fri Dec 13 09:45:52 GMT 2024","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Fri Dec 13 09:42:54 GMT 2024","Fri Dec 13 09:42:54 GMT 2024","558","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"passed","Fri Dec 13 09:45:52 GMT 2024","Fri Dec 13 09:45:52 GMT 2024","48","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Fri Dec 13 09:42:53 GMT 2024","Fri Dec 13 09:42:53 GMT 2024","29","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"passed","Fri Dec 13 09:42:50 GMT 2024","Fri Dec 13 09:42:50 GMT 2024","833","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Fri Dec 13 09:43:00 GMT 2024","Fri Dec 13 09:43:02 GMT 2024","1567","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct",""
