"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 04 11:31:55 GMT 2025","Tue Feb 04 11:31:55 GMT 2025","530","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"skipped","Tue Feb 04 11:31:42 GMT 2025","Tue Feb 04 11:31:42 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Tue Feb 04 11:31:59 GMT 2025","Tue Feb 04 11:32:01 GMT 2025","2567","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Tue Feb 04 11:31:55 GMT 2025","Tue Feb 04 11:31:55 GMT 2025","258","tests.integration.dbapi.sync.V2","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Tue Feb 04 11:31:42 GMT 2025","Tue Feb 04 11:31:44 GMT 2025","2018","tests.integration.dbapi.async.V2","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Tue Feb 04 11:32:06 GMT 2025","Tue Feb 04 11:32:10 GMT 2025","4033","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Tue Feb 04 11:31:58 GMT 2025","Tue Feb 04 11:32:00 GMT 2025","2077","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Tue Feb 04 11:31:47 GMT 2025","Tue Feb 04 11:31:49 GMT 2025","1425","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Tue Feb 04 11:31:55 GMT 2025","Tue Feb 04 11:31:55 GMT 2025","177","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"passed","Tue Feb 04 11:31:45 GMT 2025","Tue Feb 04 11:31:47 GMT 2025","2454","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Tue Feb 04 11:31:46 GMT 2025","Tue Feb 04 11:34:45 GMT 2025","178793","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Tue Feb 04 11:31:44 GMT 2025","Tue Feb 04 11:31:45 GMT 2025","1301","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Tue Feb 04 11:31:57 GMT 2025","Tue Feb 04 11:31:58 GMT 2025","1073","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"passed","Tue Feb 04 11:31:56 GMT 2025","Tue Feb 04 11:31:56 GMT 2025","180","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan",""
"passed","Tue Feb 04 11:32:02 GMT 2025","Tue Feb 04 11:32:02 GMT 2025","470","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Tue Feb 04 11:31:42 GMT 2025","Tue Feb 04 11:31:44 GMT 2025","1532","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Tue Feb 04 11:32:01 GMT 2025","Tue Feb 04 11:32:02 GMT 2025","946","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Tue Feb 04 11:31:48 GMT 2025","Tue Feb 04 11:31:52 GMT 2025","3464","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails",""
"passed","Tue Feb 04 11:31:46 GMT 2025","Tue Feb 04 11:31:46 GMT 2025","605","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter",""
"passed","Tue Feb 04 11:31:45 GMT 2025","Tue Feb 04 11:31:46 GMT 2025","1136","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Feb 04 11:39:40 GMT 2025","Tue Feb 04 11:39:41 GMT 2025","749","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Tue Feb 04 11:39:28 GMT 2025","Tue Feb 04 11:39:29 GMT 2025","713","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars","Query parameters are handled properly."
"passed","Tue Feb 04 11:31:54 GMT 2025","Tue Feb 04 11:31:55 GMT 2025","633","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Tue Feb 04 11:38:10 GMT 2025","Tue Feb 04 11:44:43 GMT 2025","393467","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Tue Feb 04 11:31:54 GMT 2025","Tue Feb 04 11:31:54 GMT 2025","214","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
"passed","Tue Feb 04 11:31:46 GMT 2025","Tue Feb 04 11:31:52 GMT 2025","6278","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Tue Feb 04 11:34:45 GMT 2025","Tue Feb 04 11:34:46 GMT 2025","1187","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running",""
