"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 09 13:37:45 GMT 2025","Thu Jan 09 13:37:46 GMT 2025","777","tests.integration.dbapi.sync.V2","test_queries","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Thu Jan 09 13:36:42 GMT 2025","Thu Jan 09 13:36:47 GMT 2025","4454","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Thu Jan 09 13:36:40 GMT 2025","Thu Jan 09 13:36:43 GMT 2025","2429","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"skipped","Thu Jan 09 13:36:40 GMT 2025","Thu Jan 09 13:36:40 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"failed","Thu Jan 09 13:36:55 GMT 2025","Thu Jan 09 13:37:02 GMT 2025","6728","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Thu Jan 09 13:36:50 GMT 2025","Thu Jan 09 13:36:52 GMT 2025","1833","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Thu Jan 09 13:36:40 GMT 2025","Thu Jan 09 13:36:41 GMT 2025","887","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Thu Jan 09 13:36:40 GMT 2025","Thu Jan 09 13:36:41 GMT 2025","992","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"passed","Thu Jan 09 13:36:41 GMT 2025","Thu Jan 09 13:36:42 GMT 2025","1161","tests.integration.dbapi.async.V2","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Thu Jan 09 13:39:03 GMT 2025","Thu Jan 09 13:42:53 GMT 2025","229559","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
