"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","4","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter[core]",""
"passed","Sat Jul 26 03:30:35 GMT 2025","Sat Jul 26 03:30:35 GMT 2025","725","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_multiple_records[core]","Select handles multiple records properly."
"skipped","Sat Jul 26 03:30:32 GMT 2025","Sat Jul 26 03:30:32 GMT 2025","0","tests.integration.dbapi.async.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography[core]",""
"passed","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","41","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query[core]","Query parameters are handled properly"
"passed","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","103","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct[core]",""
"skipped","Sat Jul 26 03:30:31 GMT 2025","Sat Jul 26 03:30:31 GMT 2025","0","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Sat Jul 26 03:30:32 GMT 2025","Sat Jul 26 03:30:32 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography[core]",""
"passed","Sat Jul 26 03:30:32 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","1029","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout[core]",""
"passed","Sat Jul 26 03:30:32 GMT 2025","Sat Jul 26 03:30:32 GMT 2025","31","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Sat Jul 26 03:30:35 GMT 2025","Sat Jul 26 03:30:35 GMT 2025","7","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error[core]","Select handles errors properly."
"passed","Sat Jul 26 03:30:32 GMT 2025","Sat Jul 26 03:30:32 GMT 2025","123","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct[core]",""
"skipped","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","0","tests.integration.dbapi.sync.V2","test_queries","","","","test_long_query[core]","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Sat Jul 26 03:30:31 GMT 2025","Sat Jul 26 03:30:31 GMT 2025","62","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select[core]","Select handles all data types properly."
"passed","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","5","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf[core]",""
"passed","Sat Jul 26 03:30:31 GMT 2025","Sat Jul 26 03:30:31 GMT 2025","29","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf[core]",""
"passed","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","36","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip[core]","Inserted and than selected bytea value doesn't get corrupted."
"passed","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","13","tests.integration.dbapi.sync.V2","test_queries","","","","test_parameterized_query_with_special_chars[core]","Query parameters are handled properly."
"passed","Sat Jul 26 03:30:35 GMT 2025","Sat Jul 26 03:30:35 GMT 2025","124","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_error_during_fetching[core]","Select handles errors properly during fetching."
"skipped","Sat Jul 26 03:30:35 GMT 2025","Sat Jul 26 03:30:35 GMT 2025","0","tests.integration.dbapi.sync.V2","test_streaming","","","","test_streaming_limited_memory[core]",""
"passed","Sat Jul 26 03:30:34 GMT 2025","Sat Jul 26 03:30:34 GMT 2025","3","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error[core]","Connection properly reacts to sql execution error."
"passed","Sat Jul 26 03:30:31 GMT 2025","Sat Jul 26 03:30:31 GMT 2025","30","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan[core]",""
"skipped","Sat Jul 26 03:30:31 GMT 2025","Sat Jul 26 03:30:31 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation[core]","Auth raises authentication error on credentials invalidation"
