"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 27 10:50:53 GMT 2025","Thu Feb 27 10:55:45 GMT 2025","291782","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_multiple_parameters",""
"passed","Thu Feb 27 10:47:55 GMT 2025","Thu Feb 27 10:47:56 GMT 2025","1152","tests.integration.dbapi.sync.V2","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Thu Feb 27 10:47:57 GMT 2025","Thu Feb 27 10:47:59 GMT 2025","1792","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Thu Feb 27 10:49:04 GMT 2025","Thu Feb 27 10:49:04 GMT 2025","48","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Thu Feb 27 10:48:00 GMT 2025","Thu Feb 27 10:48:05 GMT 2025","4532","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Thu Feb 27 10:47:52 GMT 2025","Thu Feb 27 10:47:54 GMT 2025","1231","tests.integration.dbapi.async.V2","test_server_async","","","","test_cancel_async_query",""
"passed","Thu Feb 27 10:47:54 GMT 2025","Thu Feb 27 10:47:54 GMT 2025","201","tests.integration.dbapi.sync.V2","test_queries","","","","test_select","Select handles all data types properly."
"skipped","Thu Feb 27 10:47:46 GMT 2025","Thu Feb 27 10:47:46 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Thu Feb 27 10:49:04 GMT 2025","Thu Feb 27 10:49:04 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Thu Feb 27 10:47:59 GMT 2025","Thu Feb 27 10:48:00 GMT 2025","1360","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Thu Feb 27 10:47:48 GMT 2025","Thu Feb 27 10:47:49 GMT 2025","307","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db",""
"passed","Thu Feb 27 10:47:58 GMT 2025","Thu Feb 27 10:48:00 GMT 2025","2074","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[3]",""
"skipped","Thu Feb 27 10:47:54 GMT 2025","Thu Feb 27 10:47:54 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Thu Feb 27 10:48:10 GMT 2025","Thu Feb 27 10:54:20 GMT 2025","370526","tests.integration.resource_manager.V2","test_engine","","","","test_engine_update_single_parameter",""
"passed","Thu Feb 27 10:48:09 GMT 2025","Thu Feb 27 10:48:10 GMT 2025","1050","tests.integration.dbapi.sync.V2","test_timeout","","","","test_query_timeout",""
"passed","Thu Feb 27 10:49:02 GMT 2025","Thu Feb 27 10:49:03 GMT 2025","1607","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_struct",""
"passed","Thu Feb 27 10:48:05 GMT 2025","Thu Feb 27 10:48:06 GMT 2025","1250","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_struct",""
"passed","Thu Feb 27 10:47:58 GMT 2025","Thu Feb 27 10:47:58 GMT 2025","114","tests.integration.dbapi.sync.V2","test_queries","","","","test_set_invalid_parameter",""
"passed","Thu Feb 27 10:49:04 GMT 2025","Thu Feb 27 10:49:04 GMT 2025","50","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Thu Feb 27 10:48:02 GMT 2025","Thu Feb 27 10:48:06 GMT 2025","3364","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Thu Feb 27 10:47:54 GMT 2025","Thu Feb 27 10:47:55 GMT 2025","70","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_nan",""
"passed","Thu Feb 27 10:47:53 GMT 2025","Thu Feb 27 10:47:53 GMT 2025","128","tests.integration.dbapi.sync.V2","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Thu Feb 27 10:47:49 GMT 2025","Thu Feb 27 10:47:49 GMT 2025","466","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_inf",""
"passed","Thu Feb 27 10:47:46 GMT 2025","Thu Feb 27 10:47:47 GMT 2025","442","tests.integration.dbapi.async.V2","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Thu Feb 27 10:47:54 GMT 2025","Thu Feb 27 10:47:54 GMT 2025","200","tests.integration.dbapi.sync.V2","test_queries","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Thu Feb 27 10:47:50 GMT 2025","Thu Feb 27 10:47:53 GMT 2025","3078","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_execution_from_another_connection",""
"passed","Thu Feb 27 10:47:47 GMT 2025","Thu Feb 27 10:55:38 GMT 2025","470827","tests.integration.dbapi.async.V2","test_queries_async","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Thu Feb 27 10:49:03 GMT 2025","Thu Feb 27 10:49:03 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"passed","Thu Feb 27 10:47:56 GMT 2025","Thu Feb 27 10:47:57 GMT 2025","902","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[0]",""
"skipped","Thu Feb 27 10:47:46 GMT 2025","Thu Feb 27 10:47:46 GMT 2025","0","tests.integration.dbapi.async.V2","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Thu Feb 27 10:47:51 GMT 2025","Thu Feb 27 10:47:52 GMT 2025","1052","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_use_engine",""
"passed","Thu Feb 27 10:47:46 GMT 2025","Thu Feb 27 10:47:49 GMT 2025","2539","tests.integration.dbapi.async.V2","test_errors_async","","","","test_account_no_user","Connection properly reacts to account that doesn't have
    a user attached to it."
"passed","Thu Feb 27 10:48:00 GMT 2025","Thu Feb 27 10:48:00 GMT 2025","280","tests.integration.dbapi.sync.V2","test_queries","","","","test_account_v2_connection_with_db",""
"passed","Thu Feb 27 10:47:47 GMT 2025","Thu Feb 27 10:47:47 GMT 2025","651","tests.integration.dbapi.async.V2","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Thu Feb 27 10:47:56 GMT 2025","Thu Feb 27 10:47:56 GMT 2025","173","tests.integration.dbapi.sync.V2","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Thu Feb 27 10:55:38 GMT 2025","Thu Feb 27 10:55:38 GMT 2025","536","tests.integration.dbapi.async.V2","test_queries_async","","","","test_parameterized_query_with_special_chars","Query parameters are handled properly."
"passed","Thu Feb 27 10:48:07 GMT 2025","Thu Feb 27 10:48:07 GMT 2025","520","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine","Connecting with engine name is handled properly."
"passed","Thu Feb 27 10:47:47 GMT 2025","Thu Feb 27 10:47:49 GMT 2025","1381","tests.integration.dbapi.async.V2","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Thu Feb 27 10:48:09 GMT 2025","Thu Feb 27 10:48:10 GMT 2025","705","tests.integration.dbapi.sync.V2","test_server_async","","","","test_cancel_async_query",""
"passed","Thu Feb 27 10:49:04 GMT 2025","Thu Feb 27 10:49:04 GMT 2025","48","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Thu Feb 27 10:48:08 GMT 2025","Thu Feb 27 10:48:09 GMT 2025","743","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_use_engine",""
"passed","Thu Feb 27 10:47:49 GMT 2025","Thu Feb 27 10:47:50 GMT 2025","779","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async_running",""
"passed","Thu Feb 27 10:47:55 GMT 2025","Thu Feb 27 10:47:55 GMT 2025","81","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_inf",""
"passed","Thu Feb 27 10:47:54 GMT 2025","Thu Feb 27 10:47:54 GMT 2025","72","tests.integration.dbapi.sync.V2","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
"passed","Thu Feb 27 10:49:13 GMT 2025","Thu Feb 27 10:49:16 GMT 2025","2565","tests.integration.dbapi.sync.V2","test_server_async","","","","test_insert_async",""
"passed","Thu Feb 27 10:47:50 GMT 2025","Thu Feb 27 10:47:51 GMT 2025","425","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Thu Feb 27 10:48:07 GMT 2025","Thu Feb 27 10:48:08 GMT 2025","365","tests.integration.dbapi.sync.V2","test_system_engine","","","","test_system_engine_no_db","Connecting with engine name is handled properly."
"passed","Thu Feb 27 10:47:52 GMT 2025","Thu Feb 27 10:47:53 GMT 2025","1293","tests.integration.dbapi.async.V2","test_timeout","","","","test_query_timeout",""
"passed","Thu Feb 27 10:47:49 GMT 2025","Thu Feb 27 10:47:53 GMT 2025","4531","tests.integration.dbapi.async.V2","test_queries_async","","","","test_account_v2_connection_with_db_and_engine",""
"passed","Thu Feb 27 10:49:04 GMT 2025","Thu Feb 27 10:49:04 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"skipped","Thu Feb 27 10:47:54 GMT 2025","Thu Feb 27 10:47:54 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Thu Feb 27 10:48:06 GMT 2025","Thu Feb 27 10:48:09 GMT 2025","2443","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_query_fails",""
"passed","Thu Feb 27 10:47:47 GMT 2025","Thu Feb 27 10:47:48 GMT 2025","417","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_nan",""
"skipped","Thu Feb 27 10:47:53 GMT 2025","Thu Feb 27 10:47:53 GMT 2025","0","tests.integration.dbapi.sync.V2","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Thu Feb 27 10:47:47 GMT 2025","Thu Feb 27 10:47:48 GMT 2025","668","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Thu Feb 27 10:48:00 GMT 2025","Thu Feb 27 10:48:01 GMT 2025","557","tests.integration.dbapi.sync.V2","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Thu Feb 27 10:47:49 GMT 2025","Thu Feb 27 10:47:52 GMT 2025","2981","tests.integration.dbapi.async.V2","test_server_async","","","","test_check_async_query_fails",""
"passed","Thu Feb 27 10:47:53 GMT 2025","Thu Feb 27 10:47:56 GMT 2025","2768","tests.integration.dbapi.async.V2","test_server_async","","","","test_insert_async",""
"passed","Thu Feb 27 10:47:49 GMT 2025","Thu Feb 27 10:49:02 GMT 2025","73211","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connection_with_mixed_case_db_and_engine",""
"passed","Thu Feb 27 10:47:53 GMT 2025","Thu Feb 27 10:47:54 GMT 2025","748","tests.integration.dbapi.async.V2","test_system_engine_async","","","","test_system_engine",""
"passed","Thu Feb 27 10:48:01 GMT 2025","Thu Feb 27 10:48:01 GMT 2025","132","tests.integration.dbapi.sync.V2","test_queries","","","","test_select_geography",""
"passed","Thu Feb 27 10:47:57 GMT 2025","Thu Feb 27 10:47:59 GMT 2025","1668","tests.integration.dbapi.sync.V2","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Thu Feb 27 10:49:04 GMT 2025","Thu Feb 27 10:49:04 GMT 2025","47","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Thu Feb 27 10:47:59 GMT 2025","Thu Feb 27 10:48:00 GMT 2025","946","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Thu Feb 27 10:47:56 GMT 2025","Thu Feb 27 10:47:57 GMT 2025","526","tests.integration.dbapi.sync.V2","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"passed","Thu Feb 27 10:47:49 GMT 2025","Thu Feb 27 10:47:50 GMT 2025","892","tests.integration.dbapi.async.V2","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Thu Feb 27 10:47:46 GMT 2025","Thu Feb 27 10:47:47 GMT 2025","1003","tests.integration.dbapi.async.V2","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"passed","Thu Feb 27 10:49:03 GMT 2025","Thu Feb 27 10:49:04 GMT 2025","49","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"passed","Thu Feb 27 10:48:10 GMT 2025","Thu Feb 27 10:48:10 GMT 2025","333","tests.integration.resource_manager.V2","test_database","","","","test_databases_get_many",""
"passed","Thu Feb 27 10:47:54 GMT 2025","Thu Feb 27 10:47:54 GMT 2025","329","tests.integration.dbapi.sync.V2","test_errors","","","","test_account_no_user","Connection properly reacts to invalid account error."
"passed","Thu Feb 27 10:47:56 GMT 2025","Thu Feb 27 10:47:57 GMT 2025","601","tests.integration.dbapi.sync.V2","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Thu Feb 27 10:54:20 GMT 2025","Thu Feb 27 10:55:37 GMT 2025","76906","tests.integration.resource_manager.V2","test_engine","","","","test_engine_rename",""
"passed","Thu Feb 27 10:47:47 GMT 2025","Thu Feb 27 10:47:47 GMT 2025","903","tests.integration.dbapi.async.V2","test_queries_async","","","","test_connect_no_db","Connecting with engine name is handled properly."
"passed","Thu Feb 27 10:48:07 GMT 2025","Thu Feb 27 10:48:07 GMT 2025","74","tests.integration.dbapi.sync.V2","test_server_async","","","","test_check_async_execution_fails",""
"passed","Thu Feb 27 10:47:48 GMT 2025","Thu Feb 27 10:47:49 GMT 2025","1026","tests.integration.dbapi.async.V2","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Thu Feb 27 10:48:10 GMT 2025","Thu Feb 27 10:50:53 GMT 2025","163499","tests.integration.resource_manager.V2","test_engine","","","","test_create_start_stop_engine",""
"passed","Thu Feb 27 10:47:49 GMT 2025","Thu Feb 27 10:47:49 GMT 2025","384","tests.integration.dbapi.async.V2","test_queries_async","","","","test_select_geography",""
"passed","Thu Feb 27 10:47:48 GMT 2025","Thu Feb 27 10:47:49 GMT 2025","319","tests.integration.dbapi.async.V2","test_queries_async","","","","test_set_invalid_parameter",""
